idx,pred,ref,prompt_tokens,gen_tokens,latency_sec,tok_per_sec,P,R,F1
10,"Меры, которые применяются к налогопланировщику в случае существования налоговой задолженности, являются следующими:

1. Снятие с должности руководителя предприятия, предпринимателя или должностного лица.

2. Приведение к административной ответственности и налогообложению, а также наказанию в соответствии с законодательством Республики Казахстан.

3. Ограничение права на выезд за границу.

4. Налоговый залог или уведомление о налоговой задолженности по налоговому долгу.

5. Снятие с должности государственного служащего.

6. Санкции в соответствии с законодательством Республики Казахзастан, установленными для налогопланировщика, имеющего налоговый долг. 7. Пенитенциарное заключение на срок до трех лет в случаях, предусмотренных статьей 173 Закона о налоге.

8. Налогообложение при продаже имущества и его взыскание с доходов от реализации имущества.

9. Возмещение налоговой задолженности из заработной платы работника или пенсии, если она не может быть получена в течение 6 месяцев после наступления крайнего срока уплаты налога.

10. Обязанность по уплате налогов и сборов с доходов от реализации имущества, а также возмещение расходов на их возврат и сборы за их обращение.

11. Налогообложение из доходов работника при продаже имущества или его переводе в дар.

12. Приведение к административной ответственности за нарушение законодательства Республики Казахстан о налогах и других обязательных платежах в бюджет, а также наказание в соответствии с законодательством Республики Казахстан.

13. Возмещение расходов на возврат имущества и сборы за его обращение.

14. Налоговый залог или уведтожение имущества.

15. Налогообложение при переводе имущества в дар, а также возмещение расходов на его возврат и сборы за его обращение.

16. Возмещение налоговой задолженности из доходов от реализации имущества или их","При наличии задолженности применяются меры по обеспечению исполнения налогового обязательства: начисление пени, ограничение на распоряжение имуществом, принудительное взыскание через судебный порядок.",41,512,493.5116078322753,1.0374629327341134,0.5951409,0.70317423,0.64466286
11,"Налогоплательщик может обжаловать действия налогового органа, подав жалобу в суд или обратившись в специализированную комиссию по разрешению споров. Некоторые страны также предоставляют возможность для налогоплательщера подавать апелляцию непосредственно на более высокий уровень в налоговом органе. Важно изучить конкретные правила и процедуры, действующие в вашей юрисдикции.",Налогоплательщик вправе подать жалобу в вышестоящий налоговый орган либо обратиться в суд для защиты своих прав и законных интересов в установленный законодательством срок.,37,101,105.14890141785143,0.9605426080357784,0.70913976,0.76097846,0.7341451
12,Уведомление о результатах проверки может быть обжаловано в течение 30 дней со дня его получения. Обращение к судебной системе и обращение за юридической консультацией могут быть использованы для обжалования уведомления.,Жалоба на уведомление о результатах налоговой проверки должна быть подана в течение 30 календарных дней с момента его получения.,39,60,68.84782456001267,0.8714872312007437,0.7589868,0.82653046,0.7913199
13,"Принцип обязательности налогооблагаемости – это принцип, в соответствии с которым налогоплайнеры обязаны платить государству подоходный налог на доход, полученный ими в течение налогового периода. Этот принцип является основополагающим аспектом налоговых систем во многих странах и призван гарантировать справедливое распределение бремени налогообложения среди всех граждан или предприятий.

Один из ключевых элементов обязательности налогооблагаемости заключается в том, что она применяется независимо от того, платите ли вы налог напрямую государству или через третьих лиц. Это означает, что даже если вы получили доход, но не заплатили по нему налог, государство все равно может потребовать от вас уплаты налога.

Важно отметить, что принцип обязательности налогооблагаемости не обязательно означает, что налогоплайнеры должны платить в соответствии с правилами и положениями. Хотя это верно для большинства случаев, могут быть определенные обстоятельства, при которых налогоплайнерам может потребоваться соблюдать дополнительные требования или ограничения по уплате налога.

В целом, принцип обязательности налогооблагаемости служит целям обеспечения справедливой и эффективной системы подоходного налогообложения. Он гарантирует, что все граждане или предприятия, получающие доход, вносят свой вклад в финансирование государственных услуг и программ посредством уплаты соответствующего налога на свои доходы. При соблюдении этого принципа налогоплайнеры обязаны платить подоходный налог на доход, который они получают во время налогового периода.","Принцип обязательности налогообложения означает, что каждый налогоплательщик обязан исполнять налоговые обязательства в полном объеме и в установленные сроки.",33,387,373.07992849405855,1.0373112313013728,0.6328165,0.7441342,0.68397564
14,"Патентная система налогообложения (PAT) — это метод, используемый компаниями для снижения налогооблагаемой базы и потенциального получения возврата средств. Патенты предоставляют компании исключительное право на использование определенной технологии или инновацию в течение установленного периода времени, часто 20 лет с момента подачи заявки на патент. Эта эксклюзивность позволяет компаниям получать прибыль от продажи лицензий своим патентами другим компаниям, которые хотят использовать их технологию или инновацию.

Патентная система налогооблагаемости работает путем использования убытков от выплаты роялти по патенту на вычеты. Когда компания получает доход от лицензирования своего патента другим компаниям, она может заявить об этом доходе и вычесть расходы, связанные с выплатой роялти по патенту своему патентному держателю (обычно это происходит, когда патентный держатель производит лицензируемую продукцию). Это позволяет компании уменьшить свое налогооблагаемое имущество и потенциально получить возврат средств.

Чтобы быть квалифицированным для использования системы PAT, компания должна в первую очередь иметь патенты на технологии или инновации, которые она производит. Затем, когда она получает доход от лицензий этих патентов другим компаниям, она может заявить об этом доходе и вычесть расходы, связанные с выплатой роялти по патенту своему держателю патента.

Важно отметить, что система PAT подлежит определенным правилам и ограничениям. Компании должны соблюдать требования к отчетности, установленные налоговыми органами, и могут быть обязаны предоставлять дополнительную информацию о своей деятельности по лицензированию патентов. Кроме того, если компания не может доказать, что ее расходы на выплату роялти по патенту были связаны с ее бизнесом, она может столкнуться с налоговыми последствиями.

В целом, система PAT может быть полезной для компаний, которые производят и лицензируют технологии или инновации. Она","Патентная система налогообложения — это специальный режим, при котором налогоплательщик уплачивает единый налог авансом, получая право на ведение определенных видов предпринимательской деятельности.",32,512,498.9137995317578,1.0262293816697872,0.5920377,0.7249743,0.6517968
15,"За несвоевременное представление налоговой отчетности предусмотрены штрафы в размере 0,1% за каждый день просрочки с 30-го дня до 90-го дня и в размере 0.5% за каждый день просрочки с 91-го дня и далее. Кроме того, за непредставление налоговой отчетности предусмотрены штрафы в размере 20 МРП на каждого сотрудника организации.","За несвоевременное представление налоговой отчетности предусмотрен штраф, размер которого определяется в зависимости от срока просрочки и категории налогоплательщика.",43,103,112.23415601067244,0.9177241907553136,0.71114206,0.77725863,0.7427318
16,"Ответственность за занижение налоговой базы наступает в случае, если лицо намеренно или по небрежности не указало на своем декларационном листе (форма 2-НДФЛ) доход, который ему должен был быть включен, или завысил расходы. Занижение налоговой базы означiating, что человеку придется платить дополнительную сумму налога с учетом процентов и штрафов, которые начисляются за каждую полную неделю просроченной уплаты налога (статья 40 Налогового кодекса). Кроме того, налоговая служба может принять меры в отношении лица, занижавшего свою налоговую базу, включая штрафы и взыскание долгов. Поэтому важно быть точным и полным при заполнении декларационной формы (форма 2-НДФЛ) и не пытаться обманывать систему.","За занижение налоговой базы предусмотрена ответственность в виде начисления доначисленных сумм налога, пени и штрафа в установленном проценте от доначисленной суммы.",33,215,209.82522628596053,1.0246623049365238,0.6520515,0.7501954,0.6976888
17,"Пеня — это финансовый штраф, который взимается с должника за несоблюдение определенных условий кредита или займа. Она может быть в виде процентов или фиксированной суммы денег и обычно рассчитывается на основе основного долга по кредиту или заему.","Пеня — это денежная сумма, начисляемая за каждый день просрочки исполнения налогового обязательства, рассчитанная исходя из ставки рефинансирования Национального банка Республики Казахстан.",25,70,69.33147894777358,1.0096423884557548,0.6943541,0.7256283,0.7096468
18,"Да, налогопланировщик может потребовать разъяснения от налогового органа по любому вопросу, связанному с его налоговым обязательством или уведомлением. Этот запрос должен быть направлен в письменной форме и может быть сделан через онлайн-портал Службы государственных доходов или лично в офисе службы. Налогопланировщик также может потребовать разъяснения по вопросам, связанным с его налоговым обязательством или уведомлением, во время инспекции или аудиоинтервью. Учетная запись и статус запроса на разъяснение можно проверить через онлайн-портал Службы государственных доходов. Результаты запроса будут представлены в течение 30 дней с момента получения запроса. Если налогопланировщик не удовлетворен результатом запроса, он может подать апелляцию в суд. Налоговый орган имеет право предоставить разъяснение по любой проблеме, связанной с налоговым обязательством или уведомлением, и должен сделать это в течение 30 дней с момента получения запроса. Если налогопланировщик не удовлетворен результатом запроса, он может подать апелляцию в суд. Налоговый орган имеет право предоставить разъяснение по любой проблеме, связанной с налоговым обязательством или уведывательным сообщением, и должен сделать это в течение 30 дней с момента получения запроса. Если налогопланировщик не удовлетворен результатом запроса, он может подать апелляцию в суд. Налоговый орган имеет право предоставить разъяснение по любой проблеме, связанной с налоговым обязательством или уведомлением, и должен сделать это в течение 30 дней с момента получения запроса. Если налогопланировшт не удовлетворен результатом запроса, он может подать апелляцию в суд. Налоговый орган имеет право предоставить разъяснение по любой проблеме, связанной с налоговым обязательством или уведомлением, и должен сделать это в течение 30 дней с момента получения запроса. Если налогопланировшт не удовлетворен результатом запроса, он может подать ап","Да, налогоплательщик вправе получить от налогового органа письменное или устное разъяснение по применению норм налогового законодательства.",40,512,494.33139694295824,1.0357424253573773,0.5837884,0.73163354,0.6494025
19,"Доходы физических лиц, получаемые от различных видов деятельности, подлежат индивидуальному подоходному налогу. Это включает, но не ограничивается:1. Доходы по трудовому договору2. Доходы от предпринимательской и приносящей доход деятельности3. Доходы от самозанятости4. Доходы от реализации имущества5. Пенсии и социальные выплаты6. Доходы от процентов, дивидендов7. Доходы от капитала8. Алименты9. Другие доходы, указанные в налоговом законодательстве.","Обложению индивидуальным подоходным налогом подлежат доходы физических лиц, полученные в виде заработной платы, дивидендов, процентов, аренды, продажи имущества и прочие доходы.",39,144,146.43148628575727,0.9833950583482278,0.6849497,0.79452914,0.7356814
