idx,pred,ref,prompt_tokens,gen_tokens,latency_sec,tok_per_sec,P,R,F1
10,"К налогу взимается штраф в размере 5-10% от ставки, применяется арест на сумму задолженности. В случае банкротства или прекращения деятельности налогоплательщик обязан выплатить оставшуюся задолженность по установленному сроку.","При наличии задолженности применяются меры по обеспечению исполнения налогового обязательства: начисление пени, ограничение на распоряжение имуществом, принудительное взыскание через судебный порядок.",41,63,16.717725520953536,3.7684552196432186,0.6900335,0.6821378,0.68606293
11,"Если налогоплательщик считает, что действия налогового органа противоречат закону или закономерно не проведены. Наложник может обратиться в налоговую инспекцию или подать иск в суд.",Налогоплательщик вправе подать жалобу в вышестоящий налоговый орган либо обратиться в суд для защиты своих прав и законных интересов в установленный законодательством срок.,37,51,13.757707393262535,3.707012988586737,0.7686385,0.75956285,0.76407367
12,В 10 дней от даты получения уведомления.,Жалоба на уведомление о результатах налоговой проверки должна быть подана в течение 30 календарных дней с момента его получения.,39,13,3.759862822946161,3.457572952040158,0.8005729,0.70640296,0.75054556
13,"Налогоплательщик обязан уплачивать налоги, установленные законодательством. Необходимо сдать отчеты и налоговые декларации. Приглашение в налоговую службу не требуется.","Принцип обязательности налогообложения означает, что каждый налогоплательщик обязан исполнять налоговые обязательства в полном объеме и в установленные сроки.",33,49,12.961574204266071,3.7804050054253846,0.73610735,0.7344537,0.7352796
14,"Патентная система налогообложения предусматривает специальный порядок учета доходов, налоговый режим для отдельных категорий подоходного налога и ограничение права на льготы.","Патентная система налогообложения — это специальный режим, при котором налогоплательщик уплачивает единый налог авансом, получая право на ведение определенных видов предпринимательской деятельности.",32,50,13.243222389835864,3.775516149179437,0.7510565,0.74528897,0.7481616
15,"Средний штраф составляет 5 % от налоговой базы, минимальный — 2000 рублей. Если налогоделе не представил налоговую декларацию вовремя, он может быть привлечен к ответственности и лишён права на налоговые льготы.","За несвоевременное представление налоговой отчетности предусмотрен штраф, размер которого определяется в зависимости от срока просрочки и категории налогоплательщика.",43,64,17.023059269413352,3.75960624862499,0.6932905,0.6861564,0.68970495
16,"При уведомлении налоговой инспекции о занижении налоговой базы в течение 6 месяцев с момента нарушения и уплате всех предусмотренных налогов, налоговая база восстанавливается до уровня базы в момент нарушения.","За занижение налоговой базы предусмотрена ответственность в виде начисления доначисленных сумм налога, пени и штрафа в установленном проценте от доначисленной суммы.",33,59,15.882005588151516,3.714896060987152,0.7330871,0.72524285,0.729144
17,"Твой налог. Пеня — это взимаемая сумма с дохода. Согласно законодательству, если доход превышает определенный уровень, то возвращается часть этой суммы. При этом применяется стипулированная процентная ставка.","Пеня — это денежная сумма, начисляемая за каждый день просрочки исполнения налогового обязательства, рассчитанная исходя из ставки рефинансирования Национального банка Республики Казахстан.",25,59,15.597986872307956,3.782539406078501,0.69578874,0.68270075,0.6891826
18,Нет. Разъяснения налогоплательщик предоставляет самостоятельно.,"Да, налогоплательщик вправе получить от налогового органа письменное или устное разъяснение по применению норм налогового законодательства.",40,17,4.57412555674091,3.716557359241489,0.77218497,0.69343364,0.7306936
19,"Получение дохода от оказания услуг, продажи товаров и выполнения работ.","Обложению индивидуальным подоходным налогом подлежат доходы физических лиц, полученные в виде заработной платы, дивидендов, процентов, аренды, продажи имущества и прочие доходы.",39,19,5.425717672798783,3.501840889225463,0.75142,0.68958575,0.71917623
20,"Тот, кто владеет имуществом на территории РФ и в течение 12 месяцев не имеет налогооблагаемых доходов. Научные работники и студенты.",Упрощенный режим налогообложения могут применять субъекты малого бизнеса при соблюдении установленных законодательством критериев по доходам и количеству работников.,36,40,10.652227744925767,3.755083064108741,0.6742539,0.6471109,0.6604036
21,Санкция - до 2 лет лишения свободы.,"За неуплату налогов в крупном размере может наступать уголовная ответственность, предусмотренная уголовным законодательством Республики Казахстан.",39,13,3.824172165710479,3.399428539479675,0.6422527,0.5857662,0.6127103
22,Налоговая обязанность налогового агента — это обязанность налогообложения налоговыми органами и уплате налоговых платежей.,"Налоговый агент обязан правильно исчислить, удержать и перечислить налоги, подлежащие удержанию у источника выплаты, в установленные сроки.",31,32,8.7342538703233,3.6637359613197855,0.7462375,0.67858285,0.7108039
23,"Доходы учитываются в соответствии с законодательством страны, где расположен источник дохода. Если налоговая практика другой страны, то применяется соответствующая норма.","Доходы, полученные за рубежом, подлежат налогообложению в Республике Казахстан с учетом положений международных договоров об избежании двойного налогообложения.",33,42,11.11604401189834,3.778322571864976,0.68032706,0.6724634,0.6763724
24,"Если НК и Договор не совпадают, применяется НК.","В случае противоречия норм Налогового кодекса международному договору применяются положения международного договора, ратифицированного Республикой Казахстан.",40,18,5.106265990994871,3.5250807599415714,0.69017637,0.6199124,0.65316015
25,"Налоговые льготы — это предоставление налогоплательщикам урегулированных процедур, которые позволяют снизить налоги. Они могут включать в себя специальные режимы уплаты, льготу на определенное количество работников или возможность использовать особые учётные формы.","Налоговые льготы — это предоставляемые законом преимущества в виде освобождения от уплаты налогов, снижения ставок, предоставления вычетов или отсрочек.",28,68,18.002009639982134,3.777356048569891,0.7261948,0.78220665,0.75316083
26,"Форма 1СПН, налоговый выписка и другие.","Уплату налогов подтверждают платежные документы, лицевые счета налогоплательщиков, а также данные информационных систем налоговых органов.",32,18,4.8698818502016366,3.696188234885968,0.7238918,0.7069846,0.7153383
27,"Налогообложенный гражданин может обжаловать бездействие налогового органа, в том числе при наличии оснований для иска упрощенного налогоплательства. Порядок применения этого режима и порядок выдачи акта на обращение обжалования предусмотрен Кодексом федерального налогообложения.",Налогоплательщик вправе подать жалобу на бездействие должностного лица налогового органа в административном порядке или обратиться в суд.,39,80,21.2062726742588,3.772468704371036,0.7064675,0.75961596,0.7320783
28,"Акциз — налог на продажу товаров и услуг, установленный законодательством. В отличие от налога на доходы, акциз не взимается с физических лиц и применяется к юридическим лицам.","Акциз — это косвенный налог на отдельные виды товаров, работ или услуг, перечень которых установлен законодательством Республики Казахстан.",26,50,13.24369052099064,3.775382694178205,0.7348329,0.7849429,0.7590618
29,"Фиксированный вычет — это налоговая компенсация для фиксированных расходов. В данном случае доход от продажи недвижимости, а также расходы по его аренде или погашению долга.","Фиксированный вычет — это установленная законом сумма, которая уменьшает налогооблагаемый доход налогоплательщика при расчете налога.",30,52,13.7918753111735,3.770335710465143,0.77052206,0.7876061,0.7789705
30,Неправильное опровержение налогового учета. Оно может быть в виде уплаты налогов или возвращения излишков за счет средств бюджета.,"Налоговым правонарушением считается противоправное деяние налогоплательщика или налогового агента, за которое предусмотрена ответственность в соответствии с законодательством.",33,38,10.136535824742168,3.748815241913927,0.6981668,0.7001645,0.6991642
31,"В случае использования налогового резидента. Объект налогового резидента не может быть физическим лицом и налогоплательщиком, а также его уполномоченный представитель на территории других государств.","Механизм избежания двойного налогообложения применяется, если физическое или юридическое лицо получает доход в двух странах и между этими странами заключено соответствующее соглашение.",37,47,12.454577163327484,3.7737130200125577,0.6935277,0.6830382,0.6882429
32,"Если заработная плата превышает установленную величину, налогоплательщик подлежит возмещению отступных. При этом размер отступного устанавливается в соответствии с законодательством и может составлять до 10 % от уплаченной суммы.",При переплате налога налогоплательщик имеет право на зачет переплаты в счет предстоящих платежей или возврат переплаты на расчетный счет.,29,60,15.894384246319532,3.774918176770104,0.701316,0.7399794,0.72012913
33,"Рыночные права. Вы получаете доход от продажи налоговых вычетов, а также право на уплату налога.","Налоговый агент имеет право получать консультации по применению налогового законодательства и обжаловать решения налоговых органов, как и налогоплательщик.",29,29,7.95554810622707,3.645254809948386,0.7265276,0.7243922,0.7254583
34,При доходе в 1 млн.рублей за период.,"Налогу на имущество физических лиц подлежат жилые дома, квартиры, дачи, гаражи и иные строения, находящиеся в собственности физических лиц.",34,14,3.7511927192099392,3.732146292645989,0.607834,0.5542819,0.5798241
35,Следует зафиксировать налоговую базу. Налогоплательщик обязан уплатить все задолженности со срока подачи декларации. В случае невыполнения обязанности взыскиваются штрафные и арендную ставка.,"При сокрытии доходов налогоплательщик несет ответственность в виде доначисления налогов, начисления пени, наложения штрафов, а в некоторых случаях — привлечения к уголовной ответственности.",34,63,16.953541395720094,3.7160377604589616,0.70904714,0.7154499,0.71223414
36,"Согласно ст. 2 НК РФ, налоговая обязанность включает сбор и уплату налогов. Также предусмотрена ответственность за подачу неправдоподобных документов.","Налоговая обязанность включает правильное исчисление налога, своевременную его уплату и подачу налоговой отчетности.",30,45,11.938960949890316,3.769172224356209,0.7360765,0.79299664,0.76347715
37,"Налоги можно проверять, обследовать и освобождать от уплаты. Счета не могут быть изменены и не могут быть возмещены.","Налоговым органам запрещено требовать от налогоплательщика выполнения действий, не предусмотренных налоговым законодательством.",41,36,9.64096115436405,3.7340675295330223,0.68078274,0.6605685,0.6705232
38,"Да. Тот факт, что налогоплательщик работает в сфере обслуживания, а также наличие дополнительных льгот наёмного труда и др., позволяет ему применить налоговый вычет.","Да, налогоплательщик вправе использовать налоговые вычеты в порядке, установленном Налоговым кодексом.",37,46,12.226609987206755,3.762285707005608,0.7224919,0.7936596,0.7564055
39,"Доходы от продажи товаров и работ, а также получение дохода от инвестиций. Если ИПН не платит налог на доходы в течение 2 календарных кварталов с момента выхода в ею категорию, все доходы признаны налоговой базой и освобождаются.","Освобождаются, например, социальные выплаты, алименты, пособия и определённые компенсационные выплаты, установленные законодательством.",39,72,19.16279596602544,3.7572805204236346,0.6579489,0.6890244,0.6731282
40,"Крестьянские хозяйства, которые используют особый налоговый режим. Включается в это сельскохозяйственные предприятия и сельские кооперативы, получающие дотации со стороны государства.","Применять специальный режим могут крестьянские хозяйства, занимающиеся сельским хозяйством без использования наемного труда, в рамках установленного лимита дохода.",45,50,13.325335264205933,3.75225080710039,0.70781934,0.7262015,0.7168926
41,Применение мер административной ответственности для устранения выявленных нарушений или принудительного исполнения налогового долга.,"Административная ответственность предусматривает наложение штрафов за нарушения требований налогового законодательства, без привлечения к уголовной ответственности.",36,31,8.52569898404181,3.636065507124404,0.75939,0.73620546,0.747618
42,Налог на прибыль. Источник — доходы от продажи товаров и выполнения работ.,Зачет налогов — это применение сумм переплаты по одним обязательствам в счет погашения недоимки по другим налоговым обязательствам.,27,24,6.35220369277522,3.7782163735235352,0.7088523,0.6601165,0.68361694
43,"Обнаружив ошибки, налогоплательщик должен обновить налоговую отчетность и предоставлять соответствующие документы. При этом налогоплательщику могут быть выдвинуты штрафные санкции в зависимости от степени нарушения налогового законодательства.","Налогоплательщик обязан представить уточненную налоговую отчетность в порядке, установленном Налоговым кодексом.",40,63,16.784889599774033,3.7533758935684713,0.744764,0.8034481,0.77299386
44,"Платежи в бюджет включает сборы, налоговую отчетность и налоги.","Платежи в бюджет включают налоги, сборы, пошлины и иные обязательные платежи, установленные законодательством.",35,23,6.160153669770807,3.7336730920960495,0.88270116,0.8019221,0.8403749
45,Нерезиденты могут уплатить налог на доходы за пределами Казахстана. Налоги в Казахстане начисляются при получении доходов.,"Обложению подлежат доходы от источников в Казахстане: дивиденды, проценты, роялти, доходы от оказания услуг, а также доходы от продажи активов.",42,39,10.373473630752414,3.759589255076868,0.7350273,0.70779514,0.7211543
46,"Документом является договор о совместном производстве или договор о взаимопредоставлении услуг. Такие соглашения регулируются международным законодательством, а в случае отсутствия урегулирования — подлежат применению национального законодательства Казахстана.","Регулируется международными договорами об избежании двойного налогообложения, заключенными Республикой Казахстан.",41,59,15.68114457372576,3.762480456870241,0.67870796,0.71312994,0.69549334
47,"Возмещение отступлений за счет налогообложения, а при отсутствии — наличное вознаграждение.",Переплата возвращается на расчетный счет налогоплательщика на основании его письменного заявления в налоговый орган.,32,29,7.966684798244387,3.6401590792685448,0.6774563,0.69166666,0.68448776
48,"Электронная налоговая отчетность — это формат, которым подается налоговый уведомление. Возможности использования: автоматизация работы с налоговыми органами и снижение риска ошибок.",Электронная налоговая отчетность — это представление налоговых деклараций и заявлений через электронные системы налоговых органов с использованием цифровой подписи.,33,50,13.241618832107632,3.7759733635257975,0.75054646,0.7814973,0.7657093
49,"Предположим, что у нас есть налог на имущество. У каждого человека имеется определенная сумма, которая вносится в бюджет. Далее приходят налоги с этого имущества и поступают в бюджетную систему. То, какова сумма? Какая форма документов? Что нужно представить?","Принцип определенности налогообложения означает четкое установление всех элементов налога: объекта, ставки, налоговой базы и порядка уплаты.",33,72,19.02931656409055,3.783635621253381,0.6286355,0.6670744,0.6472848
50,"Собственник, управляющий, получатель налоговых льгот.","Налог на имущество обязаны уплачивать юридические лица, владеющие объектами недвижимости на праве собственности, хозяйственного ведения или оперативного управления.",36,16,4.574979599099606,3.497283354694944,0.6822435,0.6632086,0.67259145
51,"Режим для субъектов малого бизнеса на основе упрощенной декларации. Упрощен порядок налогообложения, налоговый учет и раскрытие информации. Субъекты могут использовать один из видов упрощенного режима — «упрощенный», «сниженный» или «наличный». Для применения этого режима необходим подтверждение от налогового органа.","Это специальный режим, при котором налогоплательщик уплачивает единый налог на основе доходов и расходов без применения сложных расчетов.",42,92,24.428327285218984,3.766119510592405,0.6572404,0.7169106,0.68578
52,"Нарушение налогового законодательства, предусматривающее применение санкций.","К грубым нарушениям относятся: уклонение от уплаты налогов, сокрытие объектов налогообложения, фальсификация документов и иные умышленные действия.",41,18,5.114106889814138,3.519676140491106,0.7033347,0.66444564,0.6833373
53,Налогооблагаемый налог перечисляется на текущую счетовую задолженность. Также заработный доход налогоплательщика приравняется к сумме налога и включается в отчет о доходах. Зарплата начисляется на начало следующего календарного периода.,"При удовлетворении жалобы налоговый орган отменяет или изменяет оспариваемое решение, а также принимает меры к восстановлению нарушенных прав налогоплательщика.",36,72,19.105105326976627,3.7686261744045546,0.680161,0.6978283,0.6888814
54,"Налоговый резидент — лицо, постоянно проживающее в Казахстане или имеющее постоянные места жительства в Республике Казахстан.","Налоговым резидентом признается лицо, постоянно проживающее в Казахстане или находящееся на территории страны 183 календарных дня и более в течение 12 месяцев.",33,32,8.752308001741767,3.656178460999292,0.8482382,0.7841024,0.81491035
55,"Трансфертное ценообразование — это система расчёта налогов в зависимости от места расположения объекта. Например, налог на имущество при регистрации на территории РФ и налог на доходы на территории других государств.","Трансфертное ценообразование — это механизм установления цен в сделках между взаимосвязанными лицами, подлежащий контролю для предотвращения ухода от налогообложения.",31,56,14.81742253806442,3.7793347565099,0.7618694,0.75694335,0.75939834
56,"Если налоговый агент допустил ошибку, ему могут быть применены штрафы и взыскание дополнительных сборов. Также предусмотрена санкция за отказ исполнения требований налоговой службы в течение установленного срока.",Налоговому агенту могут быть начислены штрафы за несвоевременное удержание или перечисление налогов в бюджет.,39,56,14.828579442109913,3.7764912154007337,0.7307131,0.76585007,0.7478691
57,"Приостановление всех операций по счетам налогоплательщика до определения правомерности платежа. Приостановление облагаемых налогами доходов и обязательных платежей, а также обновляется статистическая информация.","Приостановление операций — это мера налогового контроля, ограничивающая расходные операции по банковским счетам налогоплательщика до исполнения им налоговых обязательств.",39,56,14.86110786208883,3.768225122896647,0.76741695,0.7657291,0.76657206
58,"Существуют различные виды налоговой тайны, например: налоговая конфиденциальность. Такая защита обеспечивает соблюдение конфиденциальности и предотвращает доступ к налоговым документам третьим лицам.","Право на налоговую тайну предполагает защиту сведений о налогоплательщике, доступ к которым ограничен законодательством.",33,53,14.055036972276866,3.770890116087271,0.7002313,0.71655643,0.7082998
59,"Справедливость означает, что налогоплательщик может рассчитывать на то, что полученный налог будет применен к нему в соответствии со своими обязанностями. Для этого необходимо соблюдение установленной налоговой процедурой и предоставление всех необходимых документов.",Принцип справедливости означает равенство налогоплательщиков перед законом и запрет предоставления индивидуальных налоговых льгот.,35,60,15.86720929760486,3.78138328389334,0.7129907,0.76753396,0.7392576
60,"Причиной неуплаты налога становится отсутствие налогоплательщика или уплаченные суммы ниже установленной ставки. В данном случае предусмотрена возможность отказа от применения административных процедур, а также введения санкций в виде отсрочки платежей или взимания дополнительного налога.","При неполной уплате налога образуется задолженность, на которую начисляется пеня. При длительной неоплате налоговый орган вправе инициировать принудительное взыскание задолженности через суд или иные меры обеспечения исполнения обязательства.",32,76,20.08493172004819,3.783931210686618,0.6993754,0.6996689,0.6995221
61,"Налоговая ответственность предусмотрена учетным освобождением, штрафами и лишением права на получение налоговых льгот.","За неуплату налогов в крупном размере предусмотрены административные штрафы, начисление пени, а при особо крупных суммах — возможность привлечения к уголовной ответственности.",39,32,8.805267151910812,3.634188429258021,0.7467365,0.71103925,0.7284508
62,"Привилегированные доходы — неограниченный налоговый режим, льготные условия иностранного налогообложения.","Освобождаются дивиденды, проценты и роялти, если международным договором установлены нулевые или сниженные ставки налога и предоставлены соответствующие подтверждающие документы.",43,33,9.046291988808662,3.647903477007477,0.7140485,0.68669194,0.7001031
63,"Остается за налогоплательщиком, анализируя данные. Если нет, налоги не взыскиваются.","Обязанность по исчислению налога заключается в правильном определении суммы налога, подлежащей уплате, в соответствии с налоговой базой, ставкой и применяемыми льготами.",31,30,7.958809488918632,3.7694079801470552,0.69072276,0.640674,0.6647576
64,"Объект обложения — имущество юридических лиц. Налоги на имущество начисляются за счет доходов, полученных от операций с имуществом. В отличие от налогооблажений, налогоплательщик обязан предоставлять информацию в налоговые органы и выдавать декларации.","Объектом налогообложения является имущество, находящееся на балансе юридического лица, в том числе здания, сооружения и оборудование.",37,76,20.16022763121873,3.7697987041729455,0.6897685,0.70313,0.69638515
65,"Налогоплательщик имеет право признать налоговое правовое положение, а также подавать жалобу. Согласно статье 78 Кодекса об административных правонарушениях (КоАП) нарушители обязаны выплатить штрафы и производиться выездные проверки в местах проживания или постоянного расположения на территории РФ. Если налогоплательщик не придерживается установленной процедуры, то налоговая инспекция может обратиться к органам прокуратуры с требованием провести досудебное расследование и выносить постановление об административном наказании.","Налогоплательщик имеет право присутствовать при проверке, получать копии документов, составленных в ходе проверки, давать пояснения и обжаловать результаты проверки.",37,151,39.92921386798844,3.781692284231468,0.6817874,0.76700485,0.72188985
66,Недополучение налоговой льготы.,Непредставление налоговой отчетности в срок влечет наложение штрафа и начисление пени за каждый день просрочки.,36,12,3.2188958041369915,3.727986468085532,0.7952758,0.72286874,0.7573455
67,"Единовое налогообложение позволяет уменьшить налоговый бремя. Налогоплательщики получают единый налоговый тариф, единые льготы и условия уплаты, единая система управления налогами.",Единый земельный налог заменяет несколько налогов для сельскохозяйственных товаропроизводителей и упрощает расчет налоговых обязательств.,32,55,14.558759465813637,3.77779440131208,0.72081894,0.70306385,0.71183074
68,"Это список всех налоговых обязательств, которые вы несете. Может быть расширен для других видов налогооблагаемых. Например, реестр налоговой задолженности по страховым взносам.","Реестр налоговой задолженности — это база данных, содержащая информацию о налогоплательщиках, имеющих просроченные налоговые обязательства.",31,48,12.673235036898404,3.787509650081209,0.7356726,0.75136054,0.74343383
69,"Налоговая проверка — это проверка налогов и уплаты по ним, которая проводится в случае выявления ошибок. Встречная — это сумма налога или пеней, которую вы должны заплатить за несвоевременную вычету.","Встречная налоговая проверка проводится в отношении контрагентов налогоплательщика для подтверждения достоверности операций, отраженных в отчетности.",31,58,15.315409063827246,3.787035642226985,0.7171922,0.73593664,0.7264435
70,"Налоговая ставка для физических лиц составляет 10% от стоимости недвижимости. Недвижимость включает в себя дома, квартиры и земельные участки.",Ставки налога на имущество физических лиц устанавливаются в зависимости от кадастровой стоимости объекта недвижимости.,36,39,10.36590335285291,3.762334904392717,0.747395,0.7642198,0.7557138
71,Считается источником дохода за пределами России. Переводить налог на резиденцию или вносить налоги в российскую казну.,Источник дохода определяется по месту возникновения дохода: доходы от казахстанских источников подлежат налогообложению в Республике Казахстан.,40,34,9.323596896138042,3.646661302365319,0.6859848,0.6823212,0.68414813
72,"Бухгалтерский учет включает ведение бухгалтерского баланса, отчётность по налогам и прочие документационные записи.","Обязанность включает правильное и своевременное отражение всех хозяйственных операций, влияющих на налоговые обязательства.",41,34,9.299848578870296,3.655973504477228,0.71469563,0.71926546,0.71697325
73,"Следует начислять штрафы, предусмотренные налоговым законодательством. Должна выплачиваться пеня по злому.","За предоставление ложных сведений предусмотрены штрафы, доначисление налогов и возможность уголовного преследования при крупных суммах ущерба.",42,35,9.313380420207976,3.758033970571817,0.7259215,0.7097253,0.71773213
74,"Упрощенный режим применяется к доходам физических лиц и отдельные формы имущества, при условии соблюдения ограничений. Налоговая ответственность за несоблюдение предусмотренных законом правил уплачивается в полном объеме.","Упрощенный режим недоступен для налогоплательщиков, превышающих установленный порог годового дохода или занимающихся определенными видами деятельности (например, производство подакцизных товаров).",42,57,15.048612874001265,3.7877245216717648,0.6860366,0.6848313,0.6854334
75,"Недоимка по обязательным пенсионным взносам возникает при неплательстве обязательных платежей в течение 30 дней с даты их уплаты. Если неуплата заражает налоговый период, то на счета должника начисляются штрафы и начисленное наказание (накопление процентов). Недоимка может быть признана аварийной и привлечена к аресту или продаже. Также недоизвестные взносы могут привести к банкротству.","Недоимка по обязательным пенсионным взносам — это сумма взносов, не уплаченная работодателем или самозанятым лицом в установленный срок.",36,117,30.846567613072693,3.792966577922132,0.69451624,0.788586,0.73856777
76,"Принцип равенства налогообложения предусматривает одинаковое налоговое положение для двух граждан, имеющих одинаковые доходы и расходы. В случае отсутствия определенного права в России, применяется действующий законодательство.","Принцип равенства налогообложения предусматривает, что все налогоплательщики обязаны уплачивать налоги в равной мере согласно установленным законам, без дискриминации.",34,56,14.804675155784937,3.782588905918545,0.7578422,0.7789621,0.768257
77,"Налоговый режим «средний». Доход, уплаченный налоговым органом в течение 12 месяцев — 50% от ставки налога. Остальные суммы — доход с последующего исчисления (например, заработная плата).","Доходы от аренды облагаются индивидуальным подоходным налогом, а арендодатель обязан отражать такие доходы в налоговой отчетности.",43,61,16.45344892470166,3.707429383296066,0.67416614,0.6869002,0.68047357
78,"Метод освобождения применяется при получении дохода за счет реализации или сдачи в аренду недвижимости, на сумму которой уплачивается налог. При этом основной налоговый режим не меняется.","Метод освобождения предусматривает, что доход, уже облагаемый налогом в иностранном государстве, освобождается от налогообложения в Казахстане, если это предусмотрено международным договором.",37,49,12.971866487059742,3.7774055143784127,0.70349634,0.7027154,0.7031056
79,"Управление может признать смягчающим обстоятельством отсутствие или недостаточное наличие налогового ущерба. При этом налоговая ответственность не возникает, но предусмотренные законодательством меры наказания могут быть применены.",Смягчающим обстоятельством признается добровольное исправление нарушений до начала проверки или частичное устранение последствий нарушения.,42,56,14.837054690346122,3.77433400150752,0.68451077,0.7078651,0.69599205
80,Ты получишь уведомление о ликвидации и оплата налогов с начислением штрафных санкций.,"При ликвидации юридического лица налоговые обязательства должны быть полностью погашены; если есть задолженность, налоговый орган может инициировать взыскание с учредителей или правопреемников.",38,31,8.53121251007542,3.6337156017844814,0.6919302,0.6720562,0.6818484
81,"Начисление штрафа, требование о выплате дополнительных налогов. В случае повторного нарушения — уплата задолженности и аресту имущества.","Применяются меры принудительного взыскания, арест имущества, ограничение на выезд за границу и судебное разбирательство.",41,40,10.670492811128495,3.748655353413771,0.727913,0.7407084,0.7342549
82,"Косвенные налоги — налоговые ставки, которые не облагаются в зависимости от дохода. Это могут быть налоги на прибыль, страховые взносы или налог на добавленную стоимость.","Косвенные налоги — это налоги, которые включаются в цену товаров, работ или услуг и уплачиваются конечными потребителями (например, НДС и акцизы).",28,46,12.18033836595714,3.7765781719632288,0.76690257,0.7457166,0.7561612
83,"Регистрация налогоплательщика и установление статуса единовременно налогового лица. Налоговая плата начисляется с даты регистрации, налогообложение начинается в течение календарного года, следующего за дати регистрации.","Налогоплательщик обязан вести налоговый учет, подавать налоговую отчетность, уплачивать налоги и уведомлять налоговый орган об изменениях данных.",38,64,16.940020887181163,3.778035483322811,0.68901753,0.7202891,0.70430636
84,"Налоговый кредит — это возможность уплачивать налог за счет резиденции в другой стране. Например, если гражданин России проживает в США, он может использовать налоговый кредит для уплаты налога в США.","Налоговый кредит позволяет уменьшить налог на сумму налога, уплаченного за рубежом, в пределах, установленных Налоговым кодексом.",33,51,13.502145226113498,3.777177562967156,0.7549996,0.75726414,0.75613016
85,Ставки 20% или в зависимости от объема продаж.,"Ставки акцизов устанавливаются в твердой сумме на единицу измерения товара (например, за литр алкоголя, тысячу сигарет) или в процентах от стоимости.",32,14,4.002421509940177,3.497882460712953,0.7302688,0.64543724,0.68523747
86,Требуется подтверждение от органа государственной власти.,Освобождение возможно при самостоятельном выявлении и исправлении нарушений до момента назначения проверки или подачи уведомления налоговым органом.,37,13,3.7391355158761135,3.476739461515338,0.7314756,0.67011166,0.6994503
